sample_id,dataset_name,gold_answer,stop_reason,round_1_answers,round1_unique_answers,round1_all_agree,single_agent_baseline_answer,majority_voting_baseline_answer,round3_vote_available,round3_vote_answer,scrd_final_answer,single_agent_correct,majority_voting_correct,round3_vote_correct,scrd_correct,outcome_vs_round1_vote,outcome_vs_round3_vote,effective_rounds_used,actual_rounds_executed,single_agent_total_tokens,majority_vote_total_tokens,round3_vote_total_tokens,scrd_total_tokens,rollback_events,repair_round_events,trace_found
gsm8k_0001,gsm8k,72,early_stop,"['72', '72', '72']",1,True,72,72,True,72,72,True,True,True,True,both_correct,both_correct,5,5,299,897,7733,13632,0,0,True
gsm8k_0002,gsm8k,10,early_stop,"['10', '10', '10']",1,True,10,10,False,,10,True,True,,True,both_correct,baseline_unavailable,2,2,284,812,4518,4518,0,0,True
gsm8k_0003,gsm8k,5,rollback,"['5', '20', '5']",2,False,5,5,False,,5,True,True,,True,both_correct,baseline_unavailable,2,3,350,1002,8902,9568,1,1,True
gsm8k_0004,gsm8k,42,early_stop,"['42', '42', '30']",2,False,42,42,False,,42,True,True,,True,both_correct,baseline_unavailable,2,2,320,950,5483,5483,0,0,True
gsm8k_0005,gsm8k,624,early_stop,"['312', '1040', '312']",2,False,312,312,False,,312,False,False,,False,both_wrong,baseline_unavailable,2,2,268,806,4541,4541,0,0,True
gsm8k_0006,gsm8k,35,rollback,"['45', '45', '45']",1,True,45,45,False,,45,False,False,,False,both_wrong,baseline_unavailable,2,3,307,920,8948,9639,1,1,True
gsm8k_0007,gsm8k,48,early_stop,"['40', '40', '40']",1,True,40,40,True,48,48,False,False,True,True,improved,both_correct,4,4,292,877,8304,12155,0,0,True
gsm8k_0008,gsm8k,16,early_stop,"['16', '16', '20']",2,False,16,16,True,16,16,True,True,True,True,both_correct,both_correct,3,3,359,1091,10922,10922,0,0,True
gsm8k_0009,gsm8k,41,early_stop,"['101', '101', '111']",2,False,101,101,False,,101,False,False,,False,both_wrong,baseline_unavailable,2,2,345,1036,4937,4937,0,0,True
gsm8k_0010,gsm8k,990,early_stop,"['950', '950', '950']",1,True,950,950,True,990,990,False,False,True,True,improved,both_correct,3,3,317,951,8763,8763,0,0,True
gsm8k_0011,gsm8k,121,rollback,"['91', '106', '106']",2,False,91,106,True,121,121,False,False,True,True,improved,both_correct,3,4,342,1033,13378,14219,1,2,True
gsm8k_0012,gsm8k,5,early_stop,"['5', '0', '3']",3,False,5,5,True,5,5,True,True,True,True,both_correct,both_correct,3,3,350,1153,11127,11127,0,0,True
gsm8k_0013,gsm8k,85,early_stop,"['85', '85', '85']",1,True,85,85,False,,85,True,True,,True,both_correct,baseline_unavailable,2,2,293,895,4782,4782,0,0,True
gsm8k_0014,gsm8k,35,early_stop,"['35', '35', '35']",1,True,35,35,False,,35,True,True,,True,both_correct,baseline_unavailable,2,2,341,945,4727,4727,0,0,True
gsm8k_0015,gsm8k,5,rollback,"['9', '7.5', '7.5']",2,False,9,7.5,False,,5,False,False,,True,improved,baseline_unavailable,2,3,277,823,8175,8867,1,1,True
gsm8k_0016,gsm8k,448000,rollback,"['3700000', '300000', '374000']",3,False,3700000,3700000,True,4900000,4900000,False,False,False,False,both_wrong,both_wrong,4,5,323,976,11991,15923,1,3,True
gsm8k_0017,gsm8k,800,early_stop,"['800', '800', '800']",1,True,800,800,False,,800,True,True,,True,both_correct,baseline_unavailable,2,2,339,1031,5266,5266,0,0,True
gsm8k_0018,gsm8k,43,rollback,"['43', '51', '51']",2,False,43,51,True,43,43,True,False,True,True,improved,both_correct,3,4,380,1008,13836,14665,1,2,True
gsm8k_0019,gsm8k,16,early_stop,"['9', '9', '9']",1,True,9,9,False,,9,False,False,,False,both_wrong,baseline_unavailable,2,2,299,902,4601,4601,0,0,True
gsm8k_0020,gsm8k,16,rollback,"['32', '10.4', '32']",2,False,32,32,True,44,44,False,False,False,False,both_wrong,both_wrong,3,4,312,924,11648,12300,1,2,True
gsm8k_0021,gsm8k,38,early_stop,"['36', '36', '36']",1,True,36,36,False,,36,False,False,,False,both_wrong,baseline_unavailable,2,2,315,934,4679,4679,0,0,True
gsm8k_0022,gsm8k,1080,early_stop,"['432', '432', '432']",1,True,432,432,False,,432,False,False,,False,both_wrong,baseline_unavailable,2,2,295,883,4431,4431,0,0,True
gsm8k_0023,gsm8k,7,early_stop,"['7', '5', '5']",2,False,7,5,False,,5,True,False,,False,both_wrong,baseline_unavailable,2,2,366,1064,5335,5335,0,0,True
gsm8k_0024,gsm8k,5,early_stop,"['5', '5', '5']",1,True,5,5,False,,5,True,True,,True,both_correct,baseline_unavailable,2,2,294,886,4407,4407,0,0,True
gsm8k_0025,gsm8k,62,early_stop,"['62', '62', '62']",1,True,62,62,False,,62,True,True,,True,both_correct,baseline_unavailable,2,2,345,1006,4944,4944,0,0,True
gsm8k_0026,gsm8k,110,rollback,"['110', '110', '110']",1,True,110,110,True,110,110,True,True,True,True,both_correct,both_correct,5,6,331,994,8123,18968,1,2,True
gsm8k_0027,gsm8k,400,early_stop,"['400', '400', '400']",1,True,400,400,False,,400,True,True,,True,both_correct,baseline_unavailable,2,2,292,878,4466,4466,0,0,True
gsm8k_0028,gsm8k,400,early_stop,"['480', '560', '224']",3,False,480,480,True,192,192,False,False,False,False,both_wrong,both_wrong,3,3,326,978,9705,9705,0,0,True
gsm8k_0029,gsm8k,8,early_stop,"['8', '8', '8']",1,True,8,8,True,8,8,True,True,True,True,both_correct,both_correct,3,3,305,955,7901,7901,0,0,True
gsm8k_0030,gsm8k,1000,early_stop,"['2400', '2400', '800']",2,False,2400,2400,False,,2400,False,False,,False,both_wrong,baseline_unavailable,2,2,323,968,5104,5104,0,0,True
gsm8k_0031,gsm8k,6,early_stop,"['6', '6', '6']",1,True,6,6,False,,6,True,True,,True,both_correct,baseline_unavailable,2,2,343,1026,4961,4961,0,0,True
