sample_id,trace_path,usage_records_count,final_trace_rounds,execution_events_count,rollback_events,repair_round_events,stable_consensus_events,round_usage_summary_json,round3_answers_json
gsm8k_0001,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0001_trace.json,24,5,6,0,0,0,"{""1"": 1633, ""2"": 3113, ""3"": 2987, ""4"": 2955, ""5"": 2944}","[""72"", ""72"", ""72""]"
gsm8k_0002,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0002_trace.json,9,2,3,0,0,0,"{""1"": 1459, ""2"": 3059}",[]
gsm8k_0003,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0003_trace.json,15,2,6,1,1,0,"{""1"": 1842, ""2"": 7060}",[]
gsm8k_0004,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0004_trace.json,9,2,3,0,0,0,"{""1"": 1897, ""2"": 3586}",[]
gsm8k_0005,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0005_trace.json,9,2,3,0,0,0,"{""1"": 1457, ""2"": 3084}",[]
gsm8k_0006,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0006_trace.json,15,2,6,1,1,0,"{""1"": 1560, ""2"": 7388}",[]
gsm8k_0007,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0007_trace.json,19,4,5,0,0,0,"{""1"": 1493, ""2"": 3231, ""3"": 3580, ""4"": 3851}","[""48"", ""40"", ""48""]"
gsm8k_0008,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0008_trace.json,14,3,4,0,0,0,"{""1"": 1993, ""2"": 4483, ""3"": 4446}","[""16"", ""16"", ""16""]"
gsm8k_0009,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0009_trace.json,9,2,3,0,0,0,"{""1"": 1658, ""2"": 3279}",[]
gsm8k_0010,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0010_trace.json,14,3,4,0,0,0,"{""1"": 1628, ""2"": 3408, ""3"": 3727}","[""990"", ""990"", ""990""]"
gsm8k_0011,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0011_trace.json,20,3,7,1,2,0,"{""1"": 1862, ""2"": 7608, ""3"": 3908}","[""121"", ""121"", ""121""]"
gsm8k_0012,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0012_trace.json,14,3,4,0,0,0,"{""1"": 2159, ""2"": 4411, ""3"": 4557}","[""5"", ""5"", ""1""]"
gsm8k_0013,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0013_trace.json,9,2,3,0,0,0,"{""1"": 1628, ""2"": 3154}",[]
gsm8k_0014,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0014_trace.json,9,2,3,0,0,0,"{""1"": 1632, ""2"": 3095}",[]
gsm8k_0015,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0015_trace.json,15,2,6,1,1,0,"{""1"": 1585, ""2"": 6590}",[]
gsm8k_0016,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0016_trace.json,25,4,8,1,3,0,"{""1"": 1814, ""2"": 7132, ""3"": 3045, ""4"": 3019}","[""4900000"", ""4900000"", ""4900000""]"
gsm8k_0017,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0017_trace.json,9,2,3,0,0,0,"{""1"": 1866, ""2"": 3400}",[]
gsm8k_0018,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0018_trace.json,20,3,7,1,2,0,"{""1"": 1772, ""2"": 7926, ""3"": 4138}","[""47"", ""43"", ""43""]"
gsm8k_0019,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0019_trace.json,9,2,3,0,0,0,"{""1"": 1544, ""2"": 3057}",[]
gsm8k_0020,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0020_trace.json,20,3,7,1,2,0,"{""1"": 1603, ""2"": 6470, ""3"": 3575}","[""44"", ""44"", ""44""]"
