sample_id,dataset,gold_answer,single_agent_baseline_answer,majority_voting_baseline_answer,round5_majority_answer,scrd_final_answer,single_agent_correct,majority_voting_correct,round5_majority_correct,scrd_correct,outcome_vs_round1,outcome_vs_vanilla5,effective_rounds_used,actual_rounds_executed,stop_reason,single_agent_total_tokens,majority_vote_total_tokens,round5_cumulative_total_tokens,scrd_total_tokens
addsub_0001,addsub,43,43,43,43,43,True,True,True,True,both_correct,both_correct,2,2,early_stop,379,1122,7342.0,5060
addsub_0002,addsub,26,26,26,26,26,True,True,True,True,both_correct,both_correct,2,2,early_stop,383,1134,7301.0,5016
addsub_0003,addsub,6,6,6,6,6,True,True,True,True,both_correct,both_correct,2,2,early_stop,365,1079,7081.0,4939
addsub_0004,addsub,8,8,8,8,8,True,True,True,True,both_correct,both_correct,2,2,early_stop,386,1114,7181.0,4981
addsub_0005,addsub,33,33,33,33,33,True,True,True,True,both_correct,both_correct,2,2,early_stop,383,1134,7362.0,5033
addsub_0006,addsub,52,52,52,52,52,True,True,True,True,both_correct,both_correct,2,2,early_stop,378,1119,7124.0,4996
addsub_0007,addsub,10,10,10,10,10,True,True,True,True,both_correct,both_correct,2,2,early_stop,374,1104,7092.0,4965
addsub_0008,addsub,13,13,13,13,13,True,True,True,True,both_correct,both_correct,2,2,early_stop,368,1089,7078.0,4937
addsub_0009,addsub,17,17,17,17,17,True,True,True,True,both_correct,both_correct,2,2,early_stop,359,1062,6826.0,4914
addsub_0010,addsub,10,10,10,10,10,True,True,True,True,both_correct,both_correct,2,2,early_stop,372,1095,6956.0,4981
addsub_0011,addsub,16,16,16,16,16,True,True,True,True,both_correct,both_correct,2,2,early_stop,363,1070,7112.0,4883
addsub_0012,addsub,12,12,12,12,12,True,True,True,True,both_correct,both_correct,2,2,early_stop,375,1108,7177.0,4963
addsub_0013,addsub,15,15,15,15,15,True,True,True,True,both_correct,both_correct,5,5,early_stop,358,1059,6829.0,14395
addsub_0014,addsub,5,5,5,5,5,True,True,True,True,both_correct,both_correct,3,3,early_stop,372,1073,6823.0,8092
addsub_0015,addsub,14,14,14,14,14,True,True,True,True,both_correct,both_correct,2,2,early_stop,367,1088,7092.0,4863
addsub_0016,addsub,9,9,9,9,9,True,True,True,True,both_correct,both_correct,3,3,early_stop,357,1056,6687.0,7933
addsub_0017,addsub,11,11,11,11,11,True,True,True,True,both_correct,both_correct,2,2,early_stop,372,1077,6893.0,4936
addsub_0018,addsub,21,21,21,21,21,True,True,True,True,both_correct,both_correct,2,2,early_stop,376,1113,7042.0,4973
addsub_0019,addsub,18,18,18,18,18,True,True,True,True,both_correct,both_correct,2,2,early_stop,374,1105,7110.0,4918
addsub_0020,addsub,16,16,16,16,16,True,True,True,True,both_correct,both_correct,2,2,early_stop,368,1089,6996.0,4909
addsub_0021,addsub,19,19,20,19,19,True,False,True,True,wrong_to_correct,both_correct,2,2,early_stop,377,1116,7230.0,5272
addsub_0022,addsub,14,14,14,14,14,True,True,True,True,both_correct,both_correct,3,3,early_stop,372,1106,7086.0,8326
addsub_0023,addsub,16,16,16,16,16,True,True,True,True,both_correct,both_correct,3,3,early_stop,372,1101,6996.0,8133
addsub_0024,addsub,12,12,12,12,12,True,True,True,True,both_correct,both_correct,3,3,early_stop,383,1154,7158.0,10871
addsub_0025,addsub,18,18,18,18,18,True,True,True,True,both_correct,both_correct,5,5,early_stop,368,1081,6888.0,14391
addsub_0026,addsub,67,67,67,67,67,True,True,True,True,both_correct,both_correct,2,2,early_stop,389,1116,7219.0,5054
addsub_0027,addsub,65,65,65,65,65,True,True,True,True,both_correct,both_correct,2,2,early_stop,369,1091,6933.0,4902
addsub_0028,addsub,51,51,51,51,51,True,True,True,True,both_correct,both_correct,2,2,early_stop,390,1116,7095.0,5102
addsub_0029,addsub,25,25,25,25,25,True,True,True,True,both_correct,both_correct,2,2,early_stop,367,1089,7025.0,5068
addsub_0030,addsub,56,56,56,56,56,True,True,True,True,both_correct,both_correct,2,2,early_stop,366,1085,6941.0,4889
addsub_0031,addsub,41,41,41,41,41,True,True,True,True,both_correct,both_correct,2,2,early_stop,355,1059,6794.0,4784
addsub_0032,addsub,74,74,74,74,74,True,True,True,True,both_correct,both_correct,2,2,early_stop,386,1097,7022.0,5158
addsub_0033,addsub,58,58,58,58,58,True,True,True,True,both_correct,both_correct,2,2,early_stop,382,1129,7559.0,4990
addsub_0034,addsub,55,55,55,55,55,True,True,True,True,both_correct,both_correct,5,5,early_stop,385,1130,7154.0,14915
addsub_0035,addsub,47,47,47,47,47,True,True,True,True,both_correct,both_correct,2,2,early_stop,380,1101,7003.0,5091
addsub_0036,addsub,47,47,47,47,47,True,True,True,True,both_correct,both_correct,2,2,early_stop,392,1156,7229.0,5129
addsub_0037,addsub,60,60,60,60,60,True,True,True,True,both_correct,both_correct,2,2,early_stop,369,1092,7106.0,5031
addsub_0038,addsub,63,63,63,63,63,True,True,True,True,both_correct,both_correct,2,2,early_stop,394,1155,7361.0,5115
addsub_0039,addsub,89,89,89,89,89,True,True,True,True,both_correct,both_correct,5,5,early_stop,390,1144,7251.0,15091
addsub_0040,addsub,77,77,77,77,77,True,True,True,True,both_correct,both_correct,2,2,early_stop,380,1116,6997.0,5009
addsub_0041,addsub,70,70,70,70,70,True,True,True,True,both_correct,both_correct,2,2,early_stop,367,1086,6952.0,4929
addsub_0042,addsub,71,71,71,71,71,True,True,True,True,both_correct,both_correct,4,4,early_stop,363,1074,6890.0,11487
addsub_0043,addsub,48,48,48,48,48,True,True,True,True,both_correct,both_correct,2,2,early_stop,363,1070,7008.0,4846
addsub_0044,addsub,81,81,81,81,81,True,True,True,True,both_correct,both_correct,2,2,early_stop,362,1070,6951.0,4969
addsub_0045,addsub,82,82,82,82,82,True,True,True,True,both_correct,both_correct,5,5,early_stop,365,1081,6888.0,14288
addsub_0046,addsub,43,43,43,43,43,True,True,True,True,both_correct,both_correct,2,2,early_stop,369,1092,7035.0,4928
addsub_0047,addsub,59,59,59,59,59,True,True,True,True,both_correct,both_correct,2,2,early_stop,368,1090,6914.0,4865
addsub_0048,addsub,100,100,100,100,100,True,True,True,True,both_correct,both_correct,2,2,early_stop,387,1146,7282.0,5236
addsub_0049,addsub,67,67,67,67,67,True,True,True,True,both_correct,both_correct,3,3,early_stop,365,1080,7019.0,8115
addsub_0050,addsub,105,105,105,105,105,True,True,True,True,both_correct,both_correct,3,3,early_stop,379,1114,7147.0,8465
addsub_0051,addsub,65,65,65,65,65,True,True,True,True,both_correct,both_correct,2,2,early_stop,377,1115,7126.0,4950
addsub_0052,addsub,83,83,83,83,83,True,True,True,True,both_correct,both_correct,2,2,early_stop,380,1132,7179.0,5074
addsub_0053,addsub,104,104,104,104,104,True,True,True,True,both_correct,both_correct,5,5,early_stop,373,1104,7147.0,14741
addsub_0054,addsub,88,88,88,88,88,True,True,True,True,both_correct,both_correct,2,2,early_stop,370,1109,7012.0,4960
addsub_0055,addsub,44,44,44,44,44,True,True,True,True,both_correct,both_correct,2,2,early_stop,379,1123,7286.0,4973
addsub_0056,addsub,78,78,78,68,78,True,True,False,True,both_correct,wrong_to_correct,3,3,early_stop,380,1148,7145.0,10420
addsub_0057,addsub,21,21,21,21,21,True,True,True,True,both_correct,both_correct,2,2,early_stop,380,1128,7296.0,4991
addsub_0058,addsub,11,11,11,11,11,True,True,True,True,both_correct,both_correct,2,2,early_stop,383,1134,7369.0,5016
addsub_0059,addsub,34,34,34,34,34,True,True,True,True,both_correct,both_correct,2,2,early_stop,378,1119,7162.0,4992
addsub_0060,addsub,42,42,42,42,42,True,True,True,True,both_correct,both_correct,2,2,early_stop,379,1122,7125.0,5006
addsub_0061,addsub,34,34,34,34,34,True,True,True,True,both_correct,both_correct,2,2,early_stop,381,1128,7267.0,5057
addsub_0062,addsub,11,11,11,11,11,True,True,True,True,both_correct,both_correct,2,2,early_stop,372,1111,7185.0,4961
addsub_0063,addsub,12,12,12,12,12,True,True,True,True,both_correct,both_correct,2,2,early_stop,382,1103,7054.0,5019
addsub_0064,addsub,23,23,23,23,23,True,True,True,True,both_correct,both_correct,2,2,early_stop,383,1134,7297.0,5035
addsub_0065,addsub,13,13,13,13,13,True,True,True,True,both_correct,both_correct,2,2,early_stop,358,1060,6806.0,4823
addsub_0066,addsub,12,12,12,12,12,True,True,True,True,both_correct,both_correct,2,2,early_stop,367,1086,6887.0,5019
addsub_0067,addsub,9,9,9,9,9,True,True,True,True,both_correct,both_correct,5,5,early_stop,367,1086,6933.0,14680
addsub_0068,addsub,3,3,3,3,3,True,True,True,True,both_correct,both_correct,2,2,early_stop,366,1081,6770.0,4869
addsub_0069,addsub,16,16,16,16,16,True,True,True,True,both_correct,both_correct,4,4,early_stop,368,1081,6913.0,11611
addsub_0070,addsub,15,15,15,15,15,True,True,True,True,both_correct,both_correct,2,2,early_stop,358,1051,6805.0,4812
addsub_0071,addsub,6,6,6,6,6,True,True,True,True,both_correct,both_correct,2,2,early_stop,370,1061,6898.0,5085
addsub_0072,addsub,4,4,4,4,4,True,True,True,True,both_correct,both_correct,2,2,early_stop,378,1109,7086.0,5019
addsub_0073,addsub,6,6,6,6,6,True,True,True,True,both_correct,both_correct,2,2,early_stop,360,1066,6809.0,4851
addsub_0074,addsub,83,83,83,83,83,True,True,True,True,both_correct,both_correct,2,2,early_stop,378,1123,7050.0,5141
addsub_0075,addsub,72,72,72,72,72,True,True,True,True,both_correct,both_correct,5,5,early_stop,365,1084,6879.0,14588
addsub_0076,addsub,17,17,17,17,17,True,True,True,True,both_correct,both_correct,2,2,early_stop,385,1115,6958.0,4972
addsub_0077,addsub,42,42,42,42,42,True,True,True,True,both_correct,both_correct,2,2,early_stop,357,1056,6797.0,4818
addsub_0078,addsub,74,74,74,74,74,True,True,True,True,both_correct,both_correct,2,2,early_stop,360,1084,7024.0,4952
addsub_0079,addsub,74,74,74,74,74,True,True,True,True,both_correct,both_correct,2,2,early_stop,362,1075,6852.0,4817
addsub_0080,addsub,96,96,96,96,96,True,True,True,True,both_correct,both_correct,4,4,early_stop,357,1056,6826.0,11145
asdiv_0001,asdiv,9.0,9,9,9,9,True,True,True,True,both_correct,both_correct,2,2,early_stop,352,1046,6690.0,4849
asdiv_0002,asdiv,15.0,15,15,15,15,True,True,True,True,both_correct,both_correct,2,2,early_stop,371,1100,6901.0,4977
asdiv_0003,asdiv,16.0,16,16,16,16,True,True,True,True,both_correct,both_correct,2,2,early_stop,355,1049,6908.0,4755
asdiv_0004,asdiv,6.0,6,6,6,6,True,True,True,True,both_correct,both_correct,3,3,early_stop,370,1097,6963.0,8275
asdiv_0005,asdiv,14.0,14,14,14,14,True,True,True,True,both_correct,both_correct,2,2,early_stop,359,1062,6949.0,4873
asdiv_0006,asdiv,11.0,11,11,11,11,True,True,True,True,both_correct,both_correct,2,2,early_stop,376,1113,6999.0,5041
