sample_id,dataset_name,question,gold_answer,round_1_answers,single_agent_baseline_answer,majority_voting_baseline_answer,scrd_final_answer,single_agent_correct,majority_voting_correct,scrd_correct,effective_rounds_used,actual_rounds_executed,stop_reason,single_agent_total_tokens,majority_vote_total_tokens,scrd_total_tokens,scrd_prompt_tokens,scrd_completion_tokens,agent_total_tokens,recorder_total_tokens,evaluator_total_tokens,repair_brief_total_tokens,repair_evaluator_total_tokens,repair_agent_total_tokens,trace_found,trace_path,usage_records_count,final_trace_rounds,execution_events_count,rollback_events,repair_round_events,stable_consensus_events,round_usage_summary_json,component_token_from_trace_json,change_vs_majority,change_vs_single_agent
gsm8k_0001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,"['72', '72', '72']",72,72,72,True,True,True,5,5,early_stop,299,897,13632,12402,1230,7545,3915,2172,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0001_trace.json,24,5,6,0,0,0,"{""1"": 1633, ""2"": 3113, ""3"": 2987, ""4"": 2955, ""5"": 2944}","{""agent_round_1"": 897, ""recorder"": 3915, ""agent_normal"": 6648, ""evaluator"": 2172}",both_correct,same_outcome
gsm8k_0002,gsm8k,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,"['10', '10', '10']",10,10,10,True,True,True,2,2,early_stop,284,812,4518,4029,489,2467,1516,535,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0002_trace.json,9,2,3,0,0,0,"{""1"": 1459, ""2"": 3059}","{""agent_round_1"": 812, ""recorder"": 1516, ""agent_normal"": 1655, ""evaluator"": 535}",both_correct,same_outcome
gsm8k_0003,gsm8k,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,"['5', '20', '5']",5,5,5,True,True,True,2,3,rollback,350,1002,9568,8176,1392,2844,3080,563,666,696,1719,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0003_trace.json,15,2,6,1,1,0,"{""1"": 1842, ""2"": 7060}","{""agent_round_1"": 1002, ""recorder"": 3080, ""agent_normal"": 1842, ""evaluator"": 563, ""repair_brief_generator"": 666, ""repair_agent"": 1719, ""repair_evaluator"": 696}",both_correct,same_outcome
gsm8k_0004,gsm8k,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,"['42', '42', '30']",42,42,42,True,True,True,2,2,early_stop,320,950,5483,4599,884,2784,2140,559,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0004_trace.json,9,2,3,0,0,0,"{""1"": 1897, ""2"": 3586}","{""agent_round_1"": 950, ""recorder"": 2140, ""agent_normal"": 1834, ""evaluator"": 559}",both_correct,same_outcome
gsm8k_0005,gsm8k,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,"['312', '1040', '312']",312,312,312,False,False,False,2,2,early_stop,268,806,4541,4047,494,2421,1522,598,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0005_trace.json,9,2,3,0,0,0,"{""1"": 1457, ""2"": 3084}","{""agent_round_1"": 806, ""recorder"": 1522, ""agent_normal"": 1615, ""evaluator"": 598}",both_wrong,same_outcome
gsm8k_0006,gsm8k,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,"['45', '45', '45']",45,45,45,False,False,False,2,3,rollback,307,920,9639,8209,1430,2825,2911,626,691,727,1859,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0006_trace.json,15,2,6,1,1,0,"{""1"": 1560, ""2"": 7388}","{""agent_round_1"": 920, ""recorder"": 2911, ""agent_normal"": 1905, ""evaluator"": 626, ""repair_brief_generator"": 691, ""repair_agent"": 1859, ""repair_evaluator"": 727}",both_wrong,same_outcome
gsm8k_0007,gsm8k,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,"['40', '40', '40']",40,40,48,False,False,True,4,4,early_stop,292,877,12155,10760,1395,6669,3669,1817,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0007_trace.json,19,4,5,0,0,0,"{""1"": 1493, ""2"": 3231, ""3"": 3580, ""4"": 3851}","{""agent_round_1"": 877, ""recorder"": 3669, ""agent_normal"": 5792, ""evaluator"": 1817}",improved_over_majority,improved_over_single
gsm8k_0008,gsm8k,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,"['16', '16', '20']",16,16,16,True,True,True,3,3,early_stop,359,1091,10922,9299,1623,6134,3474,1314,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0008_trace.json,14,3,4,0,0,0,"{""1"": 1993, ""2"": 4483, ""3"": 4446}","{""agent_round_1"": 1091, ""recorder"": 3474, ""agent_normal"": 5043, ""evaluator"": 1314}",both_correct,same_outcome
gsm8k_0009,gsm8k,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,"['101', '101', '111']",101,101,101,False,False,False,2,2,early_stop,345,1036,4937,4540,397,2849,1420,668,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0009_trace.json,9,2,3,0,0,0,"{""1"": 1658, ""2"": 3279}","{""agent_round_1"": 1036, ""recorder"": 1420, ""agent_normal"": 1813, ""evaluator"": 668}",both_wrong,same_outcome
gsm8k_0010,gsm8k,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",990,"['950', '950', '950']",950,950,990,False,False,True,3,3,early_stop,317,951,8763,7647,1116,4779,2780,1204,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0010_trace.json,14,3,4,0,0,0,"{""1"": 1628, ""2"": 3408, ""3"": 3727}","{""agent_round_1"": 951, ""recorder"": 2780, ""agent_normal"": 3828, ""evaluator"": 1204}",improved_over_majority,improved_over_single
gsm8k_0011,gsm8k,"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?",121,"['91', '106', '106']",91,106,121,False,False,True,3,4,rollback,342,1033,14219,12195,2024,2826,4315,612,841,1346,4279,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0011_trace.json,20,3,7,1,2,0,"{""1"": 1862, ""2"": 7608, ""3"": 3908}","{""agent_round_1"": 1033, ""recorder"": 4315, ""agent_normal"": 1793, ""evaluator"": 612, ""repair_brief_generator"": 841, ""repair_agent"": 4279, ""repair_evaluator"": 1346}",improved_over_majority,improved_over_single
gsm8k_0012,gsm8k,"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?",5,"['5', '0', '3']",5,5,5,True,True,True,3,3,early_stop,350,1153,11127,9503,1624,6371,3389,1367,0,0,0,True,C:\Users\chen\Desktop\MY_MAD\outputs\gsm8k\traces\gsm8k_0012_trace.json,14,3,4,0,0,0,"{""1"": 2159, ""2"": 4411, ""3"": 4557}","{""agent_round_1"": 1153, ""recorder"": 3389, ""agent_normal"": 5218, ""evaluator"": 1367}",both_correct,same_outcome
