sample_id,trace_path,usage_records_count,final_trace_rounds,execution_events_count,rollback_events,repair_round_events,stable_consensus_events,round_usage_summary_json,round3_answers_json
strategyqa_0001,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0001_trace.json,14,3,4,0,0,0,"{""1"": 1605, ""2"": 4071, ""3"": 3895}","[""false"", ""false"", ""false""]"
strategyqa_0002,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0002_trace.json,14,3,4,0,0,0,"{""1"": 1676, ""2"": 3930, ""3"": 3717}","[""true"", ""true"", ""true""]"
strategyqa_0003,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0003_trace.json,9,2,3,0,0,0,"{""1"": 1543, ""2"": 3673}",[]
strategyqa_0004,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0004_trace.json,9,2,3,0,0,0,"{""1"": 1327, ""2"": 2736}",[]
strategyqa_0005,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0005_trace.json,9,2,3,0,0,0,"{""1"": 1446, ""2"": 2916}",[]
strategyqa_0006,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0006_trace.json,25,4,8,1,3,0,"{""1"": 1545, ""2"": 7173, ""3"": 3348, ""4"": 3292}","[""true"", ""false"", ""true""]"
strategyqa_0007,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0007_trace.json,9,2,3,0,0,0,"{""1"": 1435, ""2"": 2870}",[]
strategyqa_0008,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0008_trace.json,9,2,3,0,0,0,"{""1"": 1345, ""2"": 2745}",[]
strategyqa_0009,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0009_trace.json,9,2,3,0,0,0,"{""1"": 1418, ""2"": 2849}",[]
strategyqa_0010,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0010_trace.json,24,5,6,0,0,0,"{""1"": 1326, ""2"": 2691, ""3"": 2696, ""4"": 2697, ""5"": 2694}","[""true"", ""true"", ""true""]"
strategyqa_0011,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0011_trace.json,9,2,3,0,0,0,"{""1"": 1492, ""2"": 3780}",[]
strategyqa_0012,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0012_trace.json,9,2,3,0,0,0,"{""1"": 1353, ""2"": 2741}",[]
strategyqa_0013,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0013_trace.json,14,3,4,0,0,0,"{""1"": 1388, ""2"": 2747, ""3"": 2744}","[""true"", ""true"", ""true""]"
strategyqa_0014,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0014_trace.json,24,5,6,0,0,0,"{""1"": 1472, ""2"": 2928, ""3"": 2860, ""4"": 2926, ""5"": 2874}","[""true"", ""true"", ""true""]"
strategyqa_0015,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0015_trace.json,14,3,4,0,0,0,"{""1"": 1338, ""2"": 2719, ""3"": 2745}","[""true"", ""true"", ""true""]"
strategyqa_0016,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0016_trace.json,9,2,3,0,0,0,"{""1"": 1391, ""2"": 2785}",[]
strategyqa_0017,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0017_trace.json,9,2,3,0,0,0,"{""1"": 1344, ""2"": 2761}",[]
strategyqa_0018,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0018_trace.json,9,2,3,0,0,0,"{""1"": 1423, ""2"": 2854}",[]
strategyqa_0019,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0019_trace.json,14,3,4,0,0,0,"{""1"": 1345, ""2"": 2721, ""3"": 2753}","[""true"", ""true"", ""true""]"
strategyqa_0020,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0020_trace.json,9,2,3,0,0,0,"{""1"": 1352, ""2"": 2776}",[]
strategyqa_0021,C:\Users\chen\Desktop\MY_MAD\outputs\strategyqa\traces\strategyqa_0021_trace.json,9,2,3,0,0,0,"{""1"": 1341, ""2"": 2738}",[]
