sample_id,gold_answer,stop_reason,round3_vote_answer,round3_vote_correct,scrd_final_answer,scrd_correct,outcome_vs_round3_vote,round3_vote_total_tokens,scrd_total_tokens
gsm8k_0001,72,early_stop,72,True,72,True,both_correct,7733,13632
gsm8k_0007,48,early_stop,48,True,48,True,both_correct,8304,12155
gsm8k_0008,16,early_stop,16,True,16,True,both_correct,10922,10922
gsm8k_0010,990,early_stop,990,True,990,True,both_correct,8763,8763
gsm8k_0011,121,rollback,121,True,121,True,both_correct,13378,14219
gsm8k_0012,5,early_stop,5,True,5,True,both_correct,11127,11127
gsm8k_0016,448000,rollback,4900000,False,4900000,False,both_wrong,11991,15923
gsm8k_0018,43,rollback,43,True,43,True,both_correct,13836,14665
gsm8k_0020,16,rollback,44,False,44,False,both_wrong,11648,12300
gsm8k_0026,110,rollback,110,True,110,True,both_correct,8123,18968
gsm8k_0028,400,early_stop,192,False,192,False,both_wrong,9705,9705
gsm8k_0029,8,early_stop,8,True,8,True,both_correct,7901,7901
gsm8k_0032,1200,early_stop,1920,False,1920,False,both_wrong,9788,9788
gsm8k_0033,10,early_stop,10,True,10,True,both_correct,9587,9587
gsm8k_0040,15,rollback,15,True,15,True,both_correct,11707,16260
gsm8k_0043,99,early_stop,99,True,99,True,both_correct,9261,9261
gsm8k_0047,1920,early_stop,1920,True,1920,True,both_correct,7985,7985
gsm8k_0048,15,early_stop,15,True,15,True,both_correct,10252,10252
gsm8k_0055,11,rollback,11,True,11,True,both_correct,12612,13253
gsm8k_0057,45,rollback,45,True,45,True,both_correct,13602,14320
gsm8k_0059,320,rollback,560,False,560,False,both_wrong,13610,22245
gsm8k_0060,120,rollback,120,True,95,False,degraded,13932,19048
gsm8k_0065,840,rollback,840,True,840,True,both_correct,12549,13464
gsm8k_0073,54,rollback,18,False,54,True,improved,7968,15817
gsm8k_0076,15,early_stop,15,True,15,True,both_correct,7833,7833
gsm8k_0080,70,early_stop,70,True,70,True,both_correct,7419,13335
gsm8k_0084,54,rollback,26,False,26,False,both_wrong,11176,14712
gsm8k_0085,90,early_stop,90,True,90,True,both_correct,7793,7793
gsm8k_0087,6,early_stop,6,True,6,True,both_correct,9741,15712
gsm8k_0089,258,early_stop,258,True,258,True,both_correct,8016,8016
gsm8k_0092,10,early_stop,10,True,10,True,both_correct,10356,10356
gsm8k_0096,64,rollback,64,True,64,True,both_correct,14145,15060
gsm8k_0097,126,early_stop,126,True,126,True,both_correct,8976,8976
gsm8k_0099,45,early_stop,30,False,30,False,both_wrong,7618,7618
gsm8k_0100,3,rollback,15,False,15,False,both_wrong,15245,16095
gsm8k_0101,15,rollback,24,False,18,False,both_wrong,11928,19908
gsm8k_0103,25,early_stop,25,True,25,True,both_correct,10416,10416
gsm8k_0104,258,rollback,366,False,366,False,both_wrong,13020,17604
gsm8k_0105,96,early_stop,96,True,96,True,both_correct,7385,13436
gsm8k_0106,320,early_stop,320,True,320,True,both_correct,7916,11017
gsm8k_0112,6,early_stop,6,True,6,True,both_correct,7729,7729
gsm8k_0113,920,early_stop,920,True,920,True,both_correct,8709,15350
gsm8k_0118,16,rollback,34,False,34,False,both_wrong,13782,14654
gsm8k_0120,140,early_stop,140,True,140,True,both_correct,7526,10595
gsm8k_0121,720,rollback,280,False,280,False,both_wrong,11315,15001
gsm8k_0124,25,early_stop,25,True,25,True,both_correct,9229,9229
gsm8k_0128,55,early_stop,55,True,55,True,both_correct,8791,12200
gsm8k_0129,6,early_stop,6,True,6,True,both_correct,8147,8147
gsm8k_0130,10,rollback,25,False,25,False,both_wrong,12068,12680
gsm8k_0132,500,rollback,420,False,420,False,both_wrong,13652,14582
gsm8k_0140,24,early_stop,24,True,24,True,both_correct,7733,13762
gsm8k_0143,30,early_stop,30%,True,30%,True,both_correct,9049,9049
gsm8k_0145,8,rollback,8,True,8,True,both_correct,15982,17035
gsm8k_0146,2,early_stop,2.6667,False,2,True,improved,9785,17887
gsm8k_0149,35,early_stop,35,True,35,True,both_correct,9503,9503
gsm8k_0157,21,rollback,21,True,21,True,both_correct,15383,19337
gsm8k_0159,6,early_stop,6,True,6,True,both_correct,7555,10734
gsm8k_0163,2290,early_stop,4152,False,4152,False,both_wrong,8900,8900
gsm8k_0165,32,rollback,32,True,32,True,both_correct,12914,13702
gsm8k_0170,216,rollback,216,True,216,True,both_correct,12655,13415
gsm8k_0172,24,early_stop,24,True,24,True,both_correct,7850,7850
gsm8k_0179,23,rollback,21.88,False,21.88,False,both_wrong,16293,17147
gsm8k_0183,230,rollback,180,False,180,False,both_wrong,14005,18069
gsm8k_0184,349,early_stop,349,True,349,True,both_correct,8856,8856
gsm8k_0185,3750,early_stop,4750,False,4750,False,both_wrong,8669,15733
gsm8k_0187,50,early_stop,44,False,44,False,both_wrong,8633,8633
gsm8k_0190,48,rollback,48,True,48,True,both_correct,12258,12896
gsm8k_0193,670,early_stop,554.71,False,554.71,False,both_wrong,8871,12433
gsm8k_0195,322,rollback,322,True,322,True,both_correct,12227,12917
gsm8k_0198,24,early_stop,24,True,24,True,both_correct,7852,10861
gsm8k_0199,30,early_stop,40,False,40,False,both_wrong,9836,9836
gsm8k_0200,150,rollback,300,False,180,False,both_wrong,12858,17734
