sample_id,dataset_name,gold_answer,stop_reason,round_1_answers,round1_unique_answers,round1_all_agree,single_agent_baseline_answer,majority_voting_baseline_answer,round3_vote_available,round3_vote_answer,scrd_final_answer,single_agent_correct,majority_voting_correct,round3_vote_correct,scrd_correct,outcome_vs_round1_vote,outcome_vs_round3_vote,effective_rounds_used,actual_rounds_executed,single_agent_total_tokens,majority_vote_total_tokens,round3_vote_total_tokens,scrd_total_tokens,rollback_events,repair_round_events,trace_found
strategyqa_0001,strategyqa,true,early_stop,"['true', 'false', 'true']",2,False,true,true,True,false,false,True,True,False,False,degraded,both_wrong,3,3,263,782,9571,9571,0,0,True
strategyqa_0002,strategyqa,true,early_stop,"['true', 'true', 'false']",2,False,true,true,True,true,true,True,True,True,True,both_correct,both_correct,3,3,275,807,9323,9323,0,0,True
strategyqa_0003,strategyqa,true,early_stop,"['false', 'false', 'false']",1,True,false,false,False,,false,False,False,,False,both_wrong,baseline_unavailable,2,2,270,803,5216,5216,0,0,True
strategyqa_0004,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,246,734,4063,4063,0,0,True
strategyqa_0005,strategyqa,true,early_stop,"['false', 'false', 'false']",1,True,false,false,False,,false,False,False,,False,both_wrong,baseline_unavailable,2,2,267,782,4362,4362,0,0,True
strategyqa_0006,strategyqa,true,rollback,"['true', 'false', 'false']",2,False,true,false,True,true,false,True,False,True,False,both_wrong,degraded,4,5,246,739,12066,16203,1,3,True
strategyqa_0007,strategyqa,false,early_stop,"['false', 'false', 'false']",1,True,false,false,False,,false,True,True,,True,both_correct,baseline_unavailable,2,2,255,753,4305,4305,0,0,True
strategyqa_0008,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,245,746,4090,4090,0,0,True
strategyqa_0009,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,247,753,4267,4267,0,0,True
strategyqa_0010,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,True,true,true,True,True,True,True,both_correct,both_correct,5,5,240,728,6713,12104,0,0,True
strategyqa_0011,strategyqa,true,early_stop,"['false', 'true', 'false']",2,False,false,false,False,,false,False,False,,False,both_wrong,baseline_unavailable,2,2,242,723,5272,5272,0,0,True
strategyqa_0012,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,248,734,4094,4094,0,0,True
strategyqa_0013,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,True,true,true,True,True,True,True,both_correct,both_correct,3,3,252,755,6879,6879,0,0,True
strategyqa_0014,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,True,true,true,True,True,True,True,both_correct,both_correct,5,5,267,801,7260,13060,0,0,True
strategyqa_0015,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,True,true,true,True,True,True,True,both_correct,both_correct,3,3,251,737,6802,6802,0,0,True
strategyqa_0016,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,254,749,4176,4176,0,0,True
strategyqa_0017,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,247,737,4105,4105,0,0,True
strategyqa_0018,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,257,778,4277,4277,0,0,True
strategyqa_0019,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,True,true,true,True,True,True,True,both_correct,both_correct,3,3,247,740,6819,6819,0,0,True
strategyqa_0020,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,248,744,4128,4128,0,0,True
strategyqa_0021,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,248,737,4079,4079,0,0,True
strategyqa_0022,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,245,741,4075,4075,0,0,True
strategyqa_0023,strategyqa,true,early_stop,"['true', 'true', 'false']",2,False,true,true,False,,false,True,True,,False,degraded,baseline_unavailable,2,2,254,768,5473,5473,0,0,True
strategyqa_0024,strategyqa,true,rollback,"['false', 'false', 'true']",2,False,false,false,True,false,false,False,False,False,False,both_wrong,both_wrong,3,4,249,755,14212,14967,1,1,True
strategyqa_0025,strategyqa,true,early_stop,"['true', 'false', 'false']",2,False,true,false,False,,false,True,False,,False,both_wrong,baseline_unavailable,2,2,266,804,5926,5926,0,0,True
strategyqa_0026,strategyqa,true,rollback,"['true', 'false', 'false']",2,False,true,false,True,false,false,True,False,False,False,both_wrong,both_wrong,3,4,268,754,14096,14935,1,1,True
strategyqa_0027,strategyqa,true,early_stop,"['true', 'true', 'true']",1,True,true,true,False,,true,True,True,,True,both_correct,baseline_unavailable,2,2,243,729,4056,4056,0,0,True
